Bin	Sequences	Proportion	Patterns	Percent Full
expected	122202.5	0.9202965674092148	11377	100.0%
truncated	6046.5	0.04553567394152998	3133	0.5457702803274621%
snapback	3442.0	0.02592140737728375	3030	0.11621150493898895%
other	1091.0	0.008216227614356935	1190	46.4711274060495%
truncated_snapback	4.0	3.0123657614507553e-05	5	0.0%
Totals	132786.0	1.0	18735


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
expected	122202.5	0.9203	11377	1.0
Subclassification	Sequence Count	Repeats	Proportion of expected	Linearity	Contains Irregular ITRs	Contains Homopolymer	Contains a Full Payload	Tokenized	Tile Pattern
expected	1412.0	1	0.011554591763670956	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	1366.0	1	0.011178167386100939	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	1353.0	0	0.011071786583744195	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	1334.0	0	0.010916306949530493	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	1303.0	0	0.010662629651602872	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	1261.0	0	0.010318937828604161	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	1256.0	0	0.010278022135390029	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	1246.0	0	0.010196190748961765	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	1089.0	0	0.008911437982038011	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	1011.0	1	0.008273153167897547	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	976.0	1	0.007986743315398621	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	959.0	1	0.007847629958470572	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	952.0	1	0.007790347987970786	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	847.0	0	0.006931118430474008	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	786.0	0	0.006431946973261595	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	743.0	0	0.006080072011620057	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	714.0	1	0.005842760990978089	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	713.0	0	0.005834577852335263	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	671.0	0	0.005490886029336552	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	663.0	0	0.00542542092019394	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	660.0	1	0.005400871504265461	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	647.0	0	0.005294490701908717	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	581.0	0	0.004754403551482171	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	578.0	0	0.004729854135553692	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	578.0	1	0.004729854135553692	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	567.0	1	0.004639839610482601	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	560.0	0	0.004582557639982815	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	555.0	0	0.004541641946768683	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	555.0	0	0.004541641946768683	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	529.5	0	0.004332971911376608	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	529.5	0	0.004332971911376608	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	497.0	0	0.004067019905484749	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	493.0	0	0.0040342873509134425	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	493.0	0	0.0040342873509134425	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	478.0	1	0.003911540271271046	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	463.5	0	0.0037928847609500623	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	463.5	0	0.0037928847609500623	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	444.0	1	0.0036333135574149467	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	440.5	0	0.003604672572165054	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	440.5	0	0.003604672572165054	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	432.0	1	0.003535115893701029	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	432.0	0	0.003535115893701029	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	432.0	0	0.003535115893701029	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	428.0	0	0.0035023833391297234	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	405.5	0	0.003318262719666128	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	405.5	0	0.003318262719666128	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	404.0	0	0.0033059880117018883	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	404.0	0	0.0033059880117018883	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	403.0	1	0.0032978048730590618	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	380.0	0	0.0031095926842740532	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	341.0	1	0.0027904502772038214	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	305.0	1	0.002495857286062069	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	301.0	0	0.0024631247314907635	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	295.0	1	0.0024140258996338047	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	288.0	0	0.0023567439291340194	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	272.0	1	0.002225813710848796	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	255.0	0	0.0020867003539207464	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[23-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	254.0	1	0.00207851721527792	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	253.0	0	0.0020703340766350933	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	240.0	1	0.0019639532742783497	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	233.0	0	0.0019066713037785643	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-143](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	224.0	1	0.0018330230559931262	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	218.0	0	0.0017839242241361674	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-143](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	213.0	1	0.0017430085309220352	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	212.0	1	0.0017348253922792086	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	206.0	0	0.0016857265604222499	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[23-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	205.0	1	0.0016775434217794235	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	191.0	1	0.0015629794807798531	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	185.0	0	0.0015138806489228944	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[4-1872](+) ITR-FLIP[21-165](-)
expected	182.0	1	0.001489331232994415	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	160.0	0	0.001309302182852233	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[4-1872](+) ITR-FLIP[1-145](+)
expected	160.0	0	0.001309302182852233	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-143](+)
expected	151.0	0	0.0012356539350667948	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-143](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	147.0	0	0.001202921380495489	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[23-165](-)
expected	145.0	1	0.0011865551032098362	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	142.0	1	0.0011620056872813569	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	140.0	0	0.0011456394099957038	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[23-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	135.0	1	0.0011047237167815715	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	134.0	1	0.001096540578138745	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	134.0	1	0.001096540578138745	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	134.0	0	0.001096540578138745	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[23-165](-)
expected	127.0	0	0.00103925860763896	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-143](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	125.0	1	0.001022892330353307	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	124.0	0	0.0010147091917104805	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[23-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	121.0	1	0.0009901597757820011	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	110.0	0	0.0009001452507109101	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-143](+)
expected	110.0	0	0.0009001452507109101	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	110.0	0	0.0009001452507109101	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	108.0	0	0.0008837789734252573	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[4-1872](+) ITR-FLIP[21-165](-)
expected	106.0	0	0.0008674126961396043	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	106.0	0	0.0008674126961396043	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	105.0	1	0.0008592295574967779	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	104.0	0	0.0008510464188539515	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	104.0	0	0.0008510464188539515	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	103.0	0	0.0008428632802111249	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-143](+)
expected	102.5	0	0.0008387717108897118	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	102.5	0	0.0008387717108897118	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	99.0	1	0.0008101307256398191	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	98.0	0	0.0008019475869969927	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[4-1872](+) ITR-FLIP[1-145](+)
expected	97.0	1	0.0007937644483541663	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	95.0	1	0.0007773981710685133	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	95.0	0	0.0007773981710685133	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	95.0	0	0.0007773981710685133	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	92.0	1	0.0007528487551400339	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	92.0	0	0.0007528487551400339	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	92.0	0	0.0007528487551400339	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	90.0	0	0.0007364824778543811	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	90.0	0	0.0007364824778543811	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	90.0	0	0.0007364824778543811	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	90.0	0	0.0007364824778543811	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	88.0	1	0.0007201162005687281	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	86.5	0	0.0007078414926044884	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	86.5	0	0.0007078414926044884	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	86.5	0	0.0007078414926044884	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	86.5	0	0.0007078414926044884	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	86.0	1	0.0007037499232830753	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	83.0	0	0.0006792005073545959	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	83.0	0	0.0006792005073545959	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	82.0	0	0.0006710173687117694	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[4-1872](-) ITR-FLIP[21-165](-)
expected	81.0	1	0.0006628342300689429	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	75.0	0	0.0006137353982119842	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-143](+)
expected	75.0	0	0.0006137353982119842	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	75.0	0	0.0006137353982119842	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	74.5	0	0.000609643828890571	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	74.5	0	0.000609643828890571	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	72.0	0	0.0005891859822835049	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[4-1872](-) ITR-FLIP[1-145](+)
expected	72.0	0	0.0005891859822835049	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	72.0	0	0.0005891859822835049	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	72.0	0	0.0005891859822835049	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	72.0	0	0.0005891859822835049	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	71.5	0	0.0005850944129620916	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	71.5	0	0.0005850944129620916	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	71.0	0	0.0005810028436406784	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[23-165](-)
expected	70.0	1	0.0005728197049978519	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-165](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	68.0	0	0.000556453427712199	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[23-165](-)
expected	67.0	0	0.0005482702890693725	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-142](+)
